strategy_name,Period,net_pnl_change,Rank,Shifted_Period
S_GBPUSD_S35_3_4974188_B011F908,2023-07,151.662135,7,2023-06
S_EURUSD_S33_3_9645908_9F4E969C,2023-07,145.96967204,6,2023-06
L_GBPUSD_S34_3_2130541_D1469B50,2023-07,137.87106493,5,2023-06
S_GBPUSD_S35_1_9519598_603C0308,2023-07,119.77777920999999,4,2023-06
L_EURUSD_S26_3_153647_5E8BD1C5,2023-07,117.24215052999999,3,2023-06
S_EURUSD_S27_0_968056_401BDC61,2023-07,104.65095762,2,2023-06
L_GBPUSD_S34_4_8079186_743600CC,2023-07,103.84705055,1,2023-06
S_GBPUSD_S43_4_757760_36AEAD74,2023-08,357.46021942,10,2023-07
S_EURUSD_S33_4_6607397_2278A9A2,2023-08,275.17799095,9,2023-07
S_EURUSD_S27_0_968056_401BDC61,2023-08,250.56385563,8,2023-07
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-08,245.70974932000001,7,2023-07
S_GBPUSD_S35_0_9865291_B99E8262,2023-08,220.23583627,6,2023-07
S_GBPUSD_S35_1_3749132_746299E1,2023-08,197.81562275,5,2023-07
L_GBPUSD_S30_2_580890_F34C951A,2023-08,196.22925558,4,2023-07
S_GBPUSD_S43_3_2447853_CDFA30F9,2023-08,193.54527936,3,2023-07
S_EURUSD_S25_2_65287_C19B1B5D,2023-08,185.53473844,2,2023-07
S_EURUSD_S33_3_9645908_9F4E969C,2023-08,174.10243974,1,2023-07
S_EURUSD_S41_2_1957722_C9BF0F3D,2023-09,297.8792312,10,2023-08
S_GBPUSD_S35_3_3685202_06824EEE,2023-09,228.30802543,9,2023-08
L_EURUSD_S32_2_9737662_670B1C00,2023-09,199.43065947,8,2023-08
S_GBPUSD_S35_3_6866072_43587EAA,2023-09,172.16740534,7,2023-08
S_GBPUSD_S43_2_2540157_E8ED90A3,2023-09,171.76927414,6,2023-08
S_GBPUSD_S43_4_757760_36AEAD74,2023-09,168.14444973,5,2023-08
S_EURUSD_S25_2_65287_C19B1B5D,2023-09,137.7923322,4,2023-08
S_EURUSD_S33_3_1448881_78FBD3B5,2023-09,131.56069584,3,2023-08
S_GBPUSD_S35_1_3749132_746299E1,2023-09,131.16601436,2,2023-08
S_EURUSD_S33_4_6607397_2278A9A2,2023-09,127.24601066,1,2023-08
S_GBPUSD_S35_1_7791031_A9EA0170,2023-10,247.08814442,10,2023-09
L_GBPUSD_S42_4_1061317_58ADC376,2023-10,190.42941150000001,9,2023-09
S_GBPUSD_S35_3_3685202_06824EEE,2023-10,182.09524117,8,2023-09
L_GBPUSD_S42_2_1172432_88BC73CA,2023-10,180.39896984,7,2023-09
S_GBPUSD_S35_4_6042225_C5E9B0ED,2023-10,173.03781952,6,2023-09
S_GBPUSD_S43_4_2441780_37DA97F5,2023-10,164.9801421,5,2023-09
L_EURUSD_S40_3_630091_CBB03EA1,2023-10,162.52680288,4,2023-09
S_GBPUSD_S43_2_2904025_DD672B80,2023-10,160.31392183,3,2023-09
S_GBPUSD_S35_4_5253232_FC905F76,2023-10,149.79896956,2,2023-09
S_GBPUSD_S43_1_3044982_98DCBCEA,2023-10,146.14133723,1,2023-09
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-11,269.48642395,10,2023-10
L_EURUSD_S40_3_2605289_E2A4C437,2023-11,233.41241669000001,9,2023-10
L_GBPUSD_S34_3_2130541_D1469B50,2023-11,228.59235909,8,2023-10
S_GBPUSD_S43_1_2620167_C2DD906B,2023-11,227.18365921,7,2023-10
L_EURUSD_S40_1_2132828_63A45C87,2023-11,227.14195888,6,2023-10
S_GBPUSD_S35_1_5478144_D156D8AD,2023-11,188.84027168,5,2023-10
S_EURUSD_S25_2_65287_C19B1B5D,2023-11,184.32829157,4,2023-10
L_EURUSD_S40_2_2686210_3B21DE4C,2023-11,174.05651625,3,2023-10
L_EURUSD_S24_2_977031_FFF2B578,2023-11,170.72230079,2,2023-10
L_GBPUSD_S34_2_9722597_DB736AAF,2023-11,156.02351945,1,2023-10
L_GBPUSD_S42_3_2299833_367BB086,2023-12,415.36320309,10,2023-11
L_GBPUSD_S30_2_184556_39B984AC,2023-12,352.44220639,9,2023-11
S_GBPUSD_S43_4_757760_36AEAD74,2023-12,272.54965117,8,2023-11
L_GBPUSD_S42_4_1061317_58ADC376,2023-12,248.57141757,7,2023-11
S_GBPUSD_S35_3_3685202_06824EEE,2023-12,212.1823408,6,2023-11
L_GBPUSD_S34_4_8079186_743600CC,2023-12,186.70882123,5,2023-11
S_EURUSD_S41_2_1435660_4B44F5C0,2023-12,183.50168702000002,4,2023-11
L_EURUSD_S40_3_2590923_2CF7B5E9,2023-12,178.89353306,3,2023-11
L_GBPUSD_S42_2_1172432_88BC73CA,2023-12,168.61184709,2,2023-11
S_GBPUSD_S43_1_2620167_C2DD906B,2023-12,167.42379621999999,1,2023-11
S_EURUSD_S41_2_2481771_CFA13660,2024-01,18.90222395,10,2023-12
S_EURUSD_S41_3_2811247_8B4DA5C0,2024-01,4.34751105,9,2023-12
S_GBPUSD_S35_0_2648124_940EFDBB,2024-01,3.84808695,8,2023-12
S_GBPUSD_S31_2_140033_E9073697,2024-01,3.37705176,7,2023-12
S_GBPUSD_S43_2_2540157_E8ED90A3,2024-01,0.86411413,6,2023-12
L_EURUSD_S32_2_4602819_51C88649,2024-01,0.2718795,5,2023-12
L_EURUSD_S32_2_4224289_FD585161,2024-01,-2.89912845,4,2023-12
L_EURUSD_S40_3_1464010_33F517BA,2024-01,-4.07641927,3,2023-12
L_EURUSD_S24_2_977031_FFF2B578,2024-01,-5.525012,2,2023-12
L_EURUSD_S40_3_320272_20B3B02A,2024-01,-6.24915093,1,2023-12
