Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-06,L_GBPUSD_S42_2_1172432_88BC73CA,-55.395244749999996,,-77.41674858399999
2023-06,S_GBPUSD_S31_2_140033_E9073697,-54.507856270000005,,-77.41674858399999
2023-06,L_EURUSD_S32_1_9529041_FA929DA9,-52.173513979999996,,-77.41674858399999
2023-06,S_GBPUSD_S43_1_3044982_98DCBCEA,-51.56104008999999,,-77.41674858399999
2023-07,S_GBPUSD_S43_2_2540157_E8ED90A3,194.58324608,142.16738732200002,
2023-07,L_EURUSD_S26_1_640342_4C128428,187.42386928,142.16738732200002,
2023-07,L_GBPUSD_S42_4_1061317_58ADC376,158.64594798000002,142.16738732200002,
2023-07,S_GBPUSD_S35_3_4974188_B011F908,151.662135,142.16738732200002,
2023-07,S_EURUSD_S33_3_9645908_9F4E969C,145.96967204,142.16738732200002,
2023-07,L_GBPUSD_S34_3_2130541_D1469B50,137.87106493,142.16738732200002,
2023-07,S_GBPUSD_S35_1_9519598_603C0308,119.77777920999999,142.16738732200002,
2023-07,L_EURUSD_S26_3_153647_5E8BD1C5,117.24215052999999,142.16738732200002,
2023-07,S_EURUSD_S27_0_968056_401BDC61,104.65095762,142.16738732200002,
2023-07,L_GBPUSD_S34_4_8079186_743600CC,103.84705055,142.16738732200002,
2023-07,S_EURUSD_S25_2_65287_C19B1B5D,-145.00055792,,-76.331542864
2023-07,S_GBPUSD_S43_1_3044982_98DCBCEA,-129.59654953,,-76.331542864
2023-07,S_GBPUSD_S35_4_6042225_C5E9B0ED,-91.69993775,,-76.331542864
2023-07,L_GBPUSD_S34_2_9722597_DB736AAF,-74.8654009,,-76.331542864
2023-07,S_GBPUSD_S35_3_3685202_06824EEE,-69.63897373,,-76.331542864
2023-07,L_GBPUSD_S42_0_2274825_7A6D0F72,-67.88685355,,-76.331542864
2023-07,L_EURUSD_S32_2_4602819_51C88649,-50.15841612,,-76.331542864
2023-07,L_GBPUSD_S42_4_463457_5325E483,-45.232104819999996,,-76.331542864
